date,event_count,pos_count,neg_count,sentiment_sum,sentiment_mean,max_abs_sentiment
2022-05-20,4,1,3,-1.75,-0.4375,0.9
2022-05-23,4,1,2,-0.85,-0.2125,0.85
2022-05-24,8,1,4,-2.7,-0.3375,0.9
2022-05-25,4,1,2,-0.85,-0.2125,0.85
2022-05-26,3,2,1,0.9,0.3,0.9
2022-05-27,4,4,0,3.5,0.875,0.9
2022-05-29,1,0,1,-0.9,-0.9,0.9
2022-05-30,3,1,2,-0.9,-0.3,0.9
2022-05-31,7,6,1,4.55,0.65,0.9
2022-06-01,8,6,2,3.75,0.46875,0.95
2022-06-02,5,2,3,-0.8,-0.16,0.9
2022-06-03,2,1,1,0.05,0.025,0.9
2022-06-05,2,0,2,-1.8,-0.9,0.9
2022-06-06,10,9,1,7.15,0.715,0.9
2022-06-07,4,4,0,3.55,0.8875,0.9
2022-06-08,7,4,3,0.95,0.135714,0.9
2022-06-09,4,1,3,-1.55,-0.3875,0.9
2022-06-10,8,1,7,-5.0,-0.625,0.9
2022-06-13,5,4,1,2.65,0.53,0.9
2022-06-14,9,2,7,-4.35,-0.483333,0.9
2022-06-15,3,1,2,-0.85,-0.283333,0.9
2022-06-16,5,3,2,0.95,0.19,0.9
2022-06-17,4,2,2,0.0,0.0,0.95
2022-06-18,1,0,1,-0.9,-0.9,0.9
2022-06-20,6,2,4,-1.7,-0.283333,0.9
2022-06-21,7,4,3,0.9,0.128571,0.9
2022-06-22,6,0,6,-5.2,-0.866667,0.95
2022-06-23,3,2,1,0.9,0.3,0.9
2022-06-24,3,3,0,2.55,0.85,0.85
2022-06-27,7,2,5,-2.55,-0.364286,0.9
2022-06-28,12,6,6,-0.15,-0.0125,0.95
2022-06-29,9,2,7,-4.4,-0.488889,0.95
2022-06-30,7,3,4,-0.85,-0.121429,0.9
2022-07-01,1,1,0,0.85,0.85,0.85
2022-07-02,1,0,1,-0.85,-0.85,0.85
2022-07-04,7,4,3,0.95,0.135714,0.9
2022-07-05,7,1,6,-4.4,-0.628571,0.95
2022-07-06,5,2,2,0.0,0.0,0.9
2022-07-07,6,5,1,3.55,0.591667,0.9
2022-07-08,4,1,2,-0.9,-0.225,0.9
2022-07-11,3,0,3,-2.55,-0.85,0.85
2022-07-12,8,2,6,-3.4,-0.425,0.9
2022-07-13,7,2,5,-2.65,-0.378571,0.9
2022-07-14,10,1,9,-7.05,-0.705,0.9
2022-07-15,4,1,2,-0.7,-0.175,0.9
2022-07-16,1,0,1,-0.9,-0.9,0.9
2022-07-18,6,4,1,2.65,0.441667,0.9
2022-07-19,7,2,4,-1.65,-0.235714,0.9
2022-07-20,7,4,3,0.95,0.135714,0.9
2022-07-21,4,3,1,1.85,0.4625,0.9
2022-07-22,5,3,2,0.95,0.19,0.9
2022-07-25,6,3,3,-0.15,-0.025,0.9
2022-07-26,2,0,2,-1.7,-0.85,0.9
2022-07-27,6,4,2,1.75,0.291667,0.9
2022-07-28,11,5,6,-0.8,-0.072727,0.9
2022-07-29,9,6,3,2.7,0.3,0.95
2022-07-31,1,1,0,0.85,0.85,0.85
2022-08-01,4,2,2,0.05,0.0125,0.95
2022-08-02,3,1,2,-0.9,-0.3,0.9
2022-08-03,7,2,5,-2.55,-0.364286,0.9
2022-08-04,6,2,3,-0.5,-0.083333,0.9
2022-08-05,2,2,0,1.8,0.9,0.9
2022-08-06,1,1,0,0.9,0.9,0.9
2022-08-07,1,0,1,-0.85,-0.85,0.85
2022-08-08,5,2,3,-0.8,-0.16,0.9
2022-08-09,3,1,1,0.05,0.016667,0.9
2022-08-10,3,1,2,-0.9,-0.3,0.9
2022-08-11,5,2,3,-0.9,-0.18,0.9
2022-08-12,6,2,4,-1.7,-0.283333,0.9
2022-08-15,7,1,6,-4.2,-0.6,0.9
2022-08-16,6,0,6,-5.2,-0.866667,0.9
2022-08-17,10,3,7,-3.4,-0.34,0.9
2022-08-18,4,2,1,0.85,0.2125,0.85
2022-08-19,2,0,2,-1.75,-0.875,0.9
2022-08-22,5,1,4,-2.5,-0.5,0.9
2022-08-23,7,5,2,2.75,0.392857,0.9
2022-08-24,3,2,1,0.85,0.283333,0.85
2022-08-25,2,1,1,-0.05,-0.025,0.9
2022-08-26,6,4,2,1.75,0.291667,0.9
2022-08-27,1,0,1,-0.9,-0.9,0.9
2022-08-29,3,2,1,0.8,0.266667,0.9
2022-08-30,3,2,1,0.9,0.3,0.9
2022-08-31,5,3,2,1.0,0.2,0.9
2022-09-01,10,0,8,-7.05,-0.705,0.95
2022-09-02,12,6,6,0.0,0.0,0.9
2022-09-03,1,0,1,-0.9,-0.9,0.9
2022-09-04,2,1,1,0.1,0.05,0.95
2022-09-05,7,4,3,0.95,0.135714,0.95
2022-09-06,8,3,5,-1.65,-0.20625,0.9
2022-09-07,6,1,5,-3.35,-0.558333,0.9
2022-09-08,4,1,3,-1.65,-0.4125,0.9
2022-09-09,8,3,5,-1.65,-0.20625,0.9
2022-09-10,1,0,1,-0.9,-0.9,0.9
2022-09-11,1,1,0,0.9,0.9,0.9
2022-09-12,12,9,3,5.4,0.45,0.9
2022-09-13,8,2,6,-3.45,-0.43125,0.9
2022-09-14,4,1,3,-1.7,-0.425,0.9
2022-09-15,6,2,3,-0.9,-0.15,0.9
2022-09-16,5,2,3,-0.85,-0.17,0.9
2022-09-19,3,2,1,0.8,0.266667,0.9
2022-09-20,4,2,2,0.05,0.0125,0.9
2022-09-21,5,3,2,0.9,0.18,0.9
2022-09-22,5,4,1,2.6,0.52,0.9
2022-09-23,4,0,4,-3.55,-0.8875,0.9
2022-09-25,1,0,1,-0.9,-0.9,0.9
2022-09-26,8,2,6,-3.4,-0.425,0.9
2022-09-27,6,4,2,1.75,0.291667,0.9
2022-09-28,6,3,3,0.1,0.016667,0.9
2022-09-29,6,3,3,0.05,0.008333,0.95
2022-09-30,4,3,1,1.8,0.45,0.9
2022-10-01,1,0,1,-0.85,-0.85,0.85
2022-10-02,1,1,0,0.9,0.9,0.9
2022-10-03,7,6,1,4.4,0.628571,0.95
2022-10-04,11,8,3,4.55,0.413636,0.95
